Timestamp,Duration,Protocol,SourceIP,DestinationIP,SourcePort,DestinationPort,PacketCount,BytesSent,BytesReceived,Label
2023-10-01 08:00:00,24.07774941456343,TCP,192.168.1.239,192.168.1.234,8055,1,827,153763,44481,Attack
2023-10-01 08:00:02,97.2523835323651,ICMP,192.168.1.176,192.168.1.82,63174,687,673,174377,1028596,Normal
2023-10-01 08:00:04,85.84265356551866,TCP,192.168.1.120,192.168.1.113,30873,570,319,679975,304696,Attack
2023-10-01 08:00:06,79.1969912938061,UDP,192.168.1.212,192.168.1.140,4410,683,375,16243,20041,Normal
2023-10-01 08:00:07,34.92801848791397,TCP,192.168.1.17,192.168.1.223,4702,989,465,52056,765407,Normal
2023-10-01 08:00:08,31.135166433848138,TCP,192.168.1.141,192.168.1.233,49643,328,766,33311,14098,Attack
2023-10-01 08:00:08,22.896529690876356,TCP,192.168.1.86,192.168.1.219,52005,571,361,230517,295981,Attack
2023-10-01 08:00:10,29.76814924256834,UDP,192.168.1.163,192.168.1.238,20260,312,709,692353,467402,Normal
2023-10-01 08:00:12,65.64680341959848,TCP,192.168.1.235,192.168.1.62,4393,767,105,145827,40731,Attack
2023-10-01 08:00:13,22.845303299081564,TCP,192.168.1.130,192.168.1.183,15310,620,224,119379,440779,Attack
2023-10-01 08:00:13,63.53010870049537,UDP,192.168.1.129,192.168.1.20,32048,610,491,44099,75776,Normal
2023-10-01 08:00:15,9.027575338100258,ICMP,192.168.1.90,192.168.1.23,65017,72,33,397896,454849,Normal
2023-10-01 08:00:15,16.917425869539482,ICMP,192.168.1.255,192.168.1.77,29712,859,254,40076,79866,Normal
2023-10-01 08:00:17,79.03652648104747,UDP,192.168.1.40,192.168.1.110,10135,6,143,292897,85814,Attack
2023-10-01 08:00:17,85.54499163514674,TCP,192.168.1.198,192.168.1.45,58469,447,639,839389,639532,Attack
2023-10-01 08:00:20,43.120545570534844,ICMP,192.168.1.124,192.168.1.204,53868,667,15,454444,360320,Normal
2023-10-01 08:00:20,59.358007036291205,UDP,192.168.1.79,192.168.1.206,8615,828,958,320167,31886,Attack
2023-10-01 08:00:21,13.61319249567724,ICMP,192.168.1.224,192.168.1.209,45050,91,906,243553,859408,Normal
2023-10-01 08:00:22,47.62954455454231,ICMP,192.168.1.174,192.168.1.52,22475,40,105,255540,166517,Normal
2023-10-01 08:00:23,0.5628754616562759,ICMP,192.168.1.8,192.168.1.116,40413,300,808,105507,483302,Normal
2023-10-01 08:00:23,8.78620201090996,UDP,192.168.1.120,192.168.1.216,36125,521,615,211641,186360,Normal
2023-10-01 08:00:25,25.146316381757792,TCP,192.168.1.246,192.168.1.233,64751,746,743,532330,222797,Normal
2023-10-01 08:00:27,73.54423400155792,UDP,192.168.1.33,192.168.1.142,13271,776,767,16475,59344,Attack
2023-10-01 08:00:28,78.11039849027794,TCP,192.168.1.168,192.168.1.24,10306,111,802,709866,109222,Attack
2023-10-01 08:00:30,91.52686467578516,ICMP,192.168.1.105,192.168.1.11,34664,31,240,1039049,395171,Normal
2023-10-01 08:00:30,17.900685830323383,TCP,192.168.1.183,192.168.1.127,41171,116,795,276798,383930,Normal
2023-10-01 08:00:31,42.271491561748064,UDP,192.168.1.169,192.168.1.49,32759,757,439,502085,385329,Normal
2023-10-01 08:00:34,60.3943557933089,TCP,192.168.1.202,192.168.1.20,23290,443,775,139706,1225551,Normal
2023-10-01 08:00:35,63.47875202323363,TCP,192.168.1.74,192.168.1.83,26571,877,667,76716,1332341,Attack
2023-10-01 08:00:38,81.61499898321921,UDP,192.168.1.64,192.168.1.110,4201,73,603,183058,424744,Normal
2023-10-01 08:00:40,83.23113266267876,ICMP,192.168.1.118,192.168.1.155,30451,300,986,1352351,91444,Attack
2023-10-01 08:00:42,75.40006971882207,UDP,192.168.1.74,192.168.1.61,37842,615,963,156162,436908,Normal
2023-10-01 08:00:43,73.42457827915838,TCP,192.168.1.97,192.168.1.124,64008,690,195,33223,52966,Normal
2023-10-01 08:00:44,19.865290702574356,UDP,192.168.1.167,192.168.1.253,10170,967,675,131697,340725,Normal
2023-10-01 08:00:44,99.99338936170736,TCP,192.168.1.49,192.168.1.239,13237,174,795,139919,1302768,Attack
2023-10-01 08:00:45,90.55038025776557,TCP,192.168.1.190,192.168.1.254,15483,685,535,103624,249444,Attack
2023-10-01 08:00:47,23.105720838844668,UDP,192.168.1.201,192.168.1.92,47774,255,123,271278,513250,Normal
2023-10-01 08:00:47,39.211018094318284,TCP,192.168.1.206,192.168.1.2,32060,923,722,559138,601201,Normal
2023-10-01 08:00:49,87.661541795405,TCP,192.168.1.116,192.168.1.226,3101,559,174,709933,538873,Attack
