ip,degree,total_byte_count,total_packet_count,unique_dst_ports,avg_duration,packets_per_second,bytes_per_second,anomaly_score,is_anomaly,is_spike
192.168.1.239,19,14929401,12004,9,44.4826239632417,14.203062171114073,17664.379421900416,0.02916803690718417,False,False
192.168.1.176,14,6453791,6905,8,60.5161516674932,8.150126406323029,7617.55430122953,0.0060930507768101605,False,False
192.168.1.120,15,12336406,6094,10,53.522323526259264,7.590602199236418,15366.056861547973,0.08849939066508122,False,False
192.168.1.212,13,7186259,6957,6,49.03051949006276,10.914708873568191,11274.389086540072,0.08479685466749254,False,True
192.168.1.17,16,10261243,9656,7,60.963998187666924,9.899285118115639,10519.777353279647,0.06265363456129924,False,False
192.168.1.141,12,11031186,5734,6,49.89839008302351,8.208109077065664,15790.927439379086,0.10482771401967989,False,False
192.168.1.163,18,15139130,7621,11,54.57043539745407,7.75857633909664,15412.425641321102,0.0903048603648231,False,False
192.168.1.235,19,10461769,10055,10,47.559397478766705,11.127359772630845,11577.510444669957,0.08633191543133917,False,False
192.168.1.90,20,12551092,7327,7,45.79606929913172,7.618661759501203,13050.706245445812,0.07359741871314268,False,False
192.168.1.129,14,11533447,6716,8,50.770060387570304,9.44876334698493,16226.445991362907,0.109497124975514,False,False
192.168.1.130,14,11029110,8417,6,41.22971146329418,13.609926274475551,17833.595577174892,0.07519977549619206,False,False
192.168.1.255,23,14710947,11619,9,45.40178783858109,11.126740533644721,14087.691735364422,0.023598401124697854,False,False
192.168.1.198,15,12966301,7906,9,57.1004808066999,9.230511883970392,15138.577722190385,0.10776777208722998,False,False
192.168.1.40,11,6513702,3537,5,46.3930521539159,6.930896753218118,12763.866565798802,0.04514726398550273,False,False
192.168.1.124,15,10768616,5297,8,42.25673485833918,7.834549950672923,15927.366424696176,0.0840370186330111,False,False
192.168.1.79,15,8346439,8716,11,49.76043079355784,11.677283685049881,11182.163373447,0.06165461996307936,False,False
192.168.1.224,17,15444328,5688,6,55.54635796389059,6.023585479926978,16355.525648387775,0.02022473082254317,False,False
192.168.1.174,14,8804228,6785,5,52.85923830529531,9.168555444248746,11897.133760030545,0.10529931726826791,False,False
192.168.1.8,16,11523531,9628,10,55.306917146062794,10.88019421532407,13022.253357530908,0.1074539408582339,False,False
192.168.1.246,16,12044406,9207,10,42.25935294824109,13.61680811120774,17813.225297651697,0.0804732213171156,False,False
192.168.1.33,17,12391577,6283,5,47.780449967006994,7.735135092895169,15255.534316252211,0.08699173181473513,False,False
192.168.1.168,18,9626052,9983,11,55.68840997610473,9.959183811300925,9603.08737304827,0.05751951572342212,False,False
192.168.1.105,13,8623286,6974,8,44.58083260942949,11.17392448694403,13816.45348341291,0.1063975316654796,False,False
192.168.1.183,12,6756613,6340,3,45.49831996621171,11.612150376666392,12375.206024122877,0.04811202986659541,False,False
192.168.1.169,17,11949634,9267,10,61.52818475992248,8.367439009328283,10789.665876637053,0.06836529960177073,False,False
192.168.1.202,10,7941946,5904,6,46.15894080793877,12.790588121520727,17205.650435189542,0.07427588557367243,False,False
